|               wave | ion | NIST | Instr |           amplitude |       Source |
|  11093.05604509107 |  OH |    1 |    32 |  33.551603495127054 | wavemodel.py |
| 11143.962622197572 |  OH |    1 |    32 |   6.351985932752783 | wavemodel.py |
| 11159.088853741867 |  OH |    1 |    32 |  12.048673978535529 | wavemodel.py |
|  11217.87379631122 |  OH |    1 |    32 |  2.0070906817166874 | wavemodel.py |
| 11231.023086056835 |  OH |    1 |    32 |  3.3414076077902752 | wavemodel.py |
| 11291.703162006657 |  OH |    1 |    32 |  0.9842767881863332 | wavemodel.py |
| 11294.205074037412 |  OH |    1 |    32 |   4.612655399307661 | wavemodel.py |
|  11298.49815823769 |  OH |    1 |    32 |   2.432418295118889 | wavemodel.py |
| 11302.533677159321 |  OH |    1 |    32 |  12.870675745365908 | wavemodel.py |
| 11309.395032221924 |  OH |    1 |    32 |   6.829227170176715 | wavemodel.py |
| 11315.948711311063 |  OH |    1 |    32 |   32.56842575415109 | wavemodel.py |
| 11326.466560268189 |  OH |    1 |    32 |   14.77910434272746 | wavemodel.py |
| 11334.296199129343 |  OH |    1 |    32 |   56.44444613581112 | wavemodel.py |
| 11349.992450707077 |  OH |    1 |    32 |  23.895713784223318 | wavemodel.py |
| 11357.343943513624 |  OH |    1 |    32 |   67.21212873897558 | wavemodel.py |
| 11380.250655431406 |  OH |    1 |    32 |   24.39359488728854 | wavemodel.py |
|  11443.03163962207 |  OH |    1 |    32 |  154.75937413234993 | wavemodel.py |
| 11450.376601632233 |  OH |    1 |    32 |   5.645711178653232 | wavemodel.py |
| 11454.739336866172 |  OH |    1 |    32 |  62.721427047086586 | wavemodel.py |
| 11465.966587113457 |  OH |    1 |    32 |   2.070325817968933 | wavemodel.py |
| 11471.465897932314 |  OH |    1 |    32 |  21.199215736908105 | wavemodel.py |
| 11487.509787546933 |  OH |    1 |    32 |  0.7893454915964013 | wavemodel.py |
| 11493.465936435972 |  OH |    1 |    32 |   6.393848232812934 | wavemodel.py |
| 11511.766855248907 |  OH |    1 |    32 |  36.034509420896526 | wavemodel.py |
| 11520.912390293515 |  OH |    1 |    32 |  1.7385665758934148 | wavemodel.py |
| 11541.950047826367 |  OH |    1 |    32 |  111.57660581335138 | wavemodel.py |
| 11553.949413429928 |  OH |    1 |    32 | 0.37419601005936315 | wavemodel.py |
| 11568.415216700634 |  OH |    1 |    32 |  47.051993886284066 | wavemodel.py |
| 11594.857892895358 |  OH |    1 |    32 |  133.80636586630575 | wavemodel.py |
| 11631.029707423722 |  OH |    1 |    32 |   37.60676576600493 | wavemodel.py |
| 11653.935487784749 |  OH |    1 |    32 |   90.02484193982558 | wavemodel.py |
| 11699.549798732482 |  OH |    1 |    32 |   22.15412420668068 | wavemodel.py |
| 11719.358344196946 |  OH |    1 |    32 |  45.472423074977144 | wavemodel.py |
| 11774.049509414268 |  OH |    1 |    32 |   9.831962048716228 | wavemodel.py |
|   11791.2548168273 |  OH |    1 |    32 |   17.12880998207395 | wavemodel.py |
| 11854.687541028403 |  OH |    1 |    32 |  3.1967654128159673 | wavemodel.py |
| 11869.755100959104 |  OH |    1 |    32 |   4.948902264222824 | wavemodel.py |
| 11941.668052531284 |  OH |    1 |    32 |  0.8276138873960803 | wavemodel.py |
| 11954.960000642555 |  OH |    1 |    32 |  1.0994687770595817 | wavemodel.py |
| 11972.045122778096 |  OH |    1 |    32 |   6.907743105948919 | wavemodel.py |
| 11979.048136875379 |  OH |    1 |    32 |   17.23552367856422 | wavemodel.py |
| 11986.603300565841 |  OH |    1 |    32 |   8.596419176960755 | wavemodel.py |
| 11991.928161841051 |  OH |    1 |    32 |   40.15372226119824 | wavemodel.py |
|  12003.42529475674 |  OH |    1 |    32 |   18.19639444513116 | wavemodel.py |
|  12010.36417113243 |  OH |    1 |    32 |   70.09760022855748 | wavemodel.py |
| 12027.536342647381 |  OH |    1 |    32 |  27.860479014469483 | wavemodel.py |
| 12034.177638124853 |  OH |    1 |    32 |   71.44107461037851 | wavemodel.py |
| 12059.177416886223 |  OH |    1 |    32 |   26.32084327792411 | wavemodel.py |
|  12125.91205083478 |  OH |    1 |    32 |  183.38681131014135 | wavemodel.py |
| 12134.391245846198 |  OH |    1 |    32 |   6.358090594751235 | wavemodel.py |
| 12139.243644799015 |  OH |    1 |    32 |   73.41711799059979 | wavemodel.py |
| 12151.999960849178 |  OH |    1 |    32 |   2.444294685597633 | wavemodel.py |
